"resource_id","role","path","md5"
"annotation-aparc","left","files/lh.aparc.annot","bf0b488994657435cdddac5f107d21e8"
"annotation-aparc","right","files/rh.aparc.annot","8f504caddedfde367a40501da6222809"
"annotation-aparc-a2005s","left","files/lh.aparc.a2005s.annot","b1ace63a2d43f68166b1fa97af61ff70"
"annotation-aparc-a2005s","right","files/rh.aparc.a2005s.annot","1ee3693e2e8a3b893abaa093b9c22832"
"annotation-aparc-a2009s","left","files/lh.aparc.a2009s.annot","b4310b1e4435defaf27fc7ee98199e6a"
"annotation-aparc-a2009s","right","files/rh.aparc.a2009s.annot","6077dc6cb42dd8c48bb382672d65743c"
"annotation-hcp-mmp1","left","files/lh.HCP-MMP1.annot","46a102b59b2fb1bb4bd62d51bf02e975"
"annotation-hcp-mmp1","right","files/rh.HCP-MMP1.annot","75e96b331940227bbcb07c1c791c2463"
"annotation-ho-fsspace","left","files/lh.HO_FSSpace.annot","47c4988c0a56c5330f7b96167e717f02"
"annotation-ho-fsspace","right","files/rh.HO_FSSpace.annot","dba7eb2abacffd158cfed04034bc4aa9"
"annotation-pals-b12-brodmann","left","files/lh.PALS_B12_Brodmann.annot","e261aa742fb9248f2ff5adc61e3e3159"
"annotation-pals-b12-brodmann","right","files/rh.PALS_B12_Brodmann.annot","771c9c09a85b4016223018cc2179b021"
"annotation-pals-b12-lobes","left","files/lh.PALS_B12_Lobes.annot","5cd057a001ed648174737d95dfe075b7"
"annotation-pals-b12-lobes","right","files/rh.PALS_B12_Lobes.annot","087539522ec686e2bd3a042db51b7a95"
"annotation-schaefer2018-1000parcels-17networks-order","left","files/lh.Schaefer2018_1000Parcels_17Networks_order.annot","a35a217cf83f4d2626f29b8e439a87d0"
"annotation-schaefer2018-1000parcels-17networks-order","right","files/rh.Schaefer2018_1000Parcels_17Networks_order.annot","3e0af7c23d4caf8f49934a00565d82c8"
"annotation-schaefer2018-1000parcels-7networks-order","left","files/lh.Schaefer2018_1000Parcels_7Networks_order.annot","3da66638fcb155186f91f7d9e2f3f6dc"
"annotation-schaefer2018-1000parcels-7networks-order","right","files/rh.Schaefer2018_1000Parcels_7Networks_order.annot","79c76b88cfcdd17fdeb4375e0b261518"
"annotation-schaefer2018-1000parcels-kong2022-17networks-order","left","files/lh.Schaefer2018_1000Parcels_Kong2022_17Networks_order.annot","cc0e7fb82044f3ba5d8b10930dad9835"
"annotation-schaefer2018-1000parcels-kong2022-17networks-order","right","files/rh.Schaefer2018_1000Parcels_Kong2022_17Networks_order.annot","9077b5725c6c1330125fad0c013b271c"
"annotation-schaefer2018-100parcels-17networks-order","left","files/lh.Schaefer2018_100Parcels_17Networks_order.annot","77abff483670cb3e9810ca9b30f3cbb2"
"annotation-schaefer2018-100parcels-17networks-order","right","files/rh.Schaefer2018_100Parcels_17Networks_order.annot","4c5237b86189b83bc4eeb319c6476ae7"
"annotation-schaefer2018-100parcels-7networks-order","left","files/lh.Schaefer2018_100Parcels_7Networks_order.annot","7ea60542f739c855900da2028987b3f3"
"annotation-schaefer2018-100parcels-7networks-order","right","files/rh.Schaefer2018_100Parcels_7Networks_order.annot","bf7baf8bc6ff343e2d17fe3ee5ed33f2"
"annotation-schaefer2018-100parcels-kong2022-17networks-order","left","files/lh.Schaefer2018_100Parcels_Kong2022_17Networks_order.annot","3d50d668dbf37e02b9681358747fede8"
"annotation-schaefer2018-100parcels-kong2022-17networks-order","right","files/rh.Schaefer2018_100Parcels_Kong2022_17Networks_order.annot","e7876033dca81f5ba86366d85cb1369e"
"annotation-schaefer2018-200parcels-17networks-order","left","files/lh.Schaefer2018_200Parcels_17Networks_order.annot","03797a5e93ce3f57465c1b1cd343eefc"
"annotation-schaefer2018-200parcels-17networks-order","right","files/rh.Schaefer2018_200Parcels_17Networks_order.annot","da65be9c734874c35c98e83767e9c51e"
"annotation-schaefer2018-200parcels-7networks-order","left","files/lh.Schaefer2018_200Parcels_7Networks_order.annot","977edb874b8a5d28454f4f7530a2613b"
"annotation-schaefer2018-200parcels-7networks-order","right","files/rh.Schaefer2018_200Parcels_7Networks_order.annot","33546b8762a75ee6554fd40eae7f873d"
"annotation-schaefer2018-200parcels-kong2022-17networks-order","left","files/lh.Schaefer2018_200Parcels_Kong2022_17Networks_order.annot","58bbaf02b6b2c558902597c4b6d12d1d"
"annotation-schaefer2018-200parcels-kong2022-17networks-order","right","files/rh.Schaefer2018_200Parcels_Kong2022_17Networks_order.annot","1784491868f4099ad232352c786a81e6"
"annotation-schaefer2018-300parcels-17networks-order","left","files/lh.Schaefer2018_300Parcels_17Networks_order.annot","aa852f508f4dca07052197e602585185"
"annotation-schaefer2018-300parcels-17networks-order","right","files/rh.Schaefer2018_300Parcels_17Networks_order.annot","79720da3b4c8743aa302d0624c3e2cc2"
"annotation-schaefer2018-300parcels-7networks-order","left","files/lh.Schaefer2018_300Parcels_7Networks_order.annot","97579ff0397d50eaf954307680d18a21"
"annotation-schaefer2018-300parcels-7networks-order","right","files/rh.Schaefer2018_300Parcels_7Networks_order.annot","f3bbf4352492ca1368c59b367b95d912"
"annotation-schaefer2018-300parcels-kong2022-17networks-order","left","files/lh.Schaefer2018_300Parcels_Kong2022_17Networks_order.annot","cb8be1547041d2d96845be9b45b7172a"
